SignalFamily,LookbackDays,FormationDate,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
6M,150,2023-07-01T00:00:00.000000,100000000,237204147.7154277,137204147.7154277,1.3684798304387273,0.3339430444721172,0.29834745081496383,-0.39885195590020317,1.1347262522635193,1.4952162685816037,1.0208201151347758,0.5445945945945946
6M,150,2024-01-01T00:00:00.000000,100000000,290116266.5062496,190116266.5062496,1.5511728072613633,0.4837184188330219,0.27546561262337627,-0.28114984498460804,1.606402294954209,2.202929417879311,0.9160719137803663,0.5873287671232876
6M,150,2024-07-01T00:00:00.000000,100000000,144117899.43749237,44117899.43749237,0.44676019204536876,0.20357644995895385,0.3063697751156262,-0.3450239068492297,0.7720342869213858,1.1639347419460546,0.9836081972285211,0.5356415478615071
6M,150,2025-01-01T00:00:00.000000,100000000,87031963.29792051,-12968036.70207949,-0.12294678399801895,-0.08431365061412022,0.2786053025341808,-0.35025633843077286,-0.18449172715253603,-0.28066845626213555,0.9534816311575033,0.5040871934604905
12M,200,2021-01-01T00:00:00.000000,100000000,941592704.1595819,841592704.1595819,8.50984249342967,0.5078958511160898,0.2968707879247028,-0.3860402790452139,1.5590552970870915,2.059364024052585,1.0204594649420744,0.5637435519528371
12M,200,2021-07-01T00:00:00.000000,100000000,430074144.1316389,330074144.1316389,3.3443427732259847,0.3419681219846131,0.29697566073577086,-0.3726662453586177,1.159401815551538,1.4563506247421623,0.927962339379073,0.5692307692307692
12M,200,2022-01-01T00:00:00.000000,100000000,353902158.751135,253902158.751135,2.5161638540007183,0.32339995920944475,0.29492100381683944,-0.4515107434296255,1.1164225894859952,1.5475349202348747,0.9722790314502482,0.5540540540540541
12M,200,2022-07-01T00:00:00.000000,100000000,401160510.5546195,301160510.5546195,2.979600526828104,0.4137465718535689,0.2848821443044691,-0.29699720147949604,1.3841560788042828,1.775931394481451,0.8831853778043992,0.5908629441624366
12M,200,2023-01-01T00:00:00.000000,100000000,285034171.31123805,185034171.31123805,1.864496133648717,0.3518573862807133,0.3222069192302697,-0.38284197821597143,1.1165434041916331,1.6222840801515237,1.1015687762844555,0.5243619489559165
12M,200,2023-07-01T00:00:00.000000,100000000,249412833.18740344,149412833.18740344,1.4777846741438379,0.3542068622975132,0.30791708111617627,-0.32616542409580973,1.158849993184969,1.5341420172357105,0.9473489801186802,0.5635135135135135
12M,200,2024-01-01T00:00:00.000000,100000000,292408653.8821602,192408653.8821602,1.9083053720534724,0.5349451832385363,0.27209320060955583,-0.28868781240470043,1.7482008347546178,2.3603472422509064,0.9373252034457679,0.5879478827361564
12M,200,2024-07-01T00:00:00.000000,100000000,168014110.16422045,68014110.16422045,0.6943962851144574,0.30286891248741,0.29284787099485476,-0.28910293608526905,1.070645387509007,1.6582989329912585,1.0525079035660232,0.5315682281059063
